geoid,name,population,value,percentile,numerator,denominator,se
94601,94601,53039,-0.380256442,0.246001523,,,
94501,94501,63821,0.584655501,0.860624524,,,
94560,94560,47171,0.389073129,0.740289414,,,
94587,94587,74722,0.448255707,0.783701447,,,
94580,94580,30488,0.246554257,0.654226961,,,
94703,94703,21697,0.680853557,0.903274943,,,
95669,95669,2315,-0.232278564,0.338918507,,,
95901,95901,33455,-0.452013518,0.20106626,,,
94549,94549,29795,1.11550386,0.985529322,,,
94595,94595,18117,0.690898488,0.908606245,,,
94506,94506,25240,0.880534421,0.959634425,,,
94806,94806,64286,-0.143547496,0.399086062,,,
94801,94801,31210,-0.387579148,0.239146992,,,
94803,94803,25893,0.469084465,0.801218583,,,
94553,94553,49784,0.580778698,0.859101295,,,
94530,94530,26145,0.71260209,0.91926885,,,
94572,94572,10384,0.030185768,0.518659558,,,
95567,95567,1802,-0.253012433,0.327494288,,,
93612,93612,35140,-0.325444212,0.275704494,,,
93630,93630,20764,-0.519398268,0.172124905,,,
93646,93646,11738,-1.057271765,0.018278751,,,
93703,93703,32754,-1.020605777,0.023610053,,,
93234,93234,7355,-1.348738695,0.003808073,,,
93616,93616,2582,-0.755032338,0.08073115,,,
95503,95503,25972,0.05095738,0.533891851,,,
95560,95560,1615,-0.240835125,0.332063976,,,
95524,95524,1668,0.367978448,0.730388423,,,
92243,92243,50402,-0.545438806,0.158415842,,,
93527,93527,1559,-0.325129615,0.277227723,,,
93305,93305,37902,-1.205231986,0.009139375,,,
93308,93308,53981,-0.611550969,0.126428027,,,
93311,93311,45481,0.132489481,0.590251333,,,
93245,93245,38480,-0.411655577,0.225437928,,,
93202,93202,4273,-0.616659443,0.124904798,,,
95485,95485,2650,-0.432164038,0.214775324,,,
96130,96130,20119,-0.139660389,0.402894136,,,
91504,91504,26749,0.133657767,0.591774562,,,
91606,91606,44295,-0.373318755,0.250571211,,,
90640,90640,62730,-0.290581055,0.295506474,,,
91770,91770,62703,-0.283087806,0.30312262,,,
93535,93535,74264,-0.793602517,0.068545316,,,
90290,90290,5681,0.564472257,0.851485149,,,
91792,91792,29619,-0.004746216,0.499619193,,,
91789,91789,44440,0.267047794,0.664127951,,,
91791,91791,33397,0.070403791,0.550647372,,,
91723,91723,18521,-0.046697538,0.470677837,,,
91773,91773,34007,0.209610375,0.63594821,,,
91702,91702,62066,-0.201320979,0.364813404,,,
91741,91741,26794,0.393383969,0.746382331,,,
91765,91765,46593,0.299828044,0.690022848,,,
90303,90303,24374,-0.580342276,0.139375476,,,
90033,90033,49155,-0.896316638,0.045696877,,,
90032,90032,48031,-0.381209454,0.243716679,,,
90249,90249,26429,-0.076125037,0.448591013,,,
91355,91355,30526,0.281439255,0.674790556,,,
91350,91350,36173,0.390679179,0.742574257,,,
91387,91387,42034,0.077272931,0.554455446,,,
91001,91001,37818,0.330425669,0.707539985,,,
91604,91604,32910,0.636508998,0.882711348,,,
91402,91402,72059,-0.58609572,0.135567403,,,
91030,91030,25637,0.695264021,0.912414318,,,
91108,91108,13375,0.654301751,0.891850724,,,
90062,90062,35916,-0.580802829,0.138613861,,,
90293,90293,12728,0.668619895,0.894897182,,,
90292,90292,23549,0.51192367,0.826351866,,,
90003,90003,73730,-1.078935201,0.014470678,,,
90056,90056,7649,0.36380561,0.728865194,,,
90732,90732,22780,0.298416865,0.688499619,,,
90716,90716,14285,-0.49875755,0.179741051,,,
90805,90805,95995,-0.592716733,0.133282559,,,
90402,90402,11882,0.888907054,0.961157654,,,
90010,90010,3822,-0.208828575,0.357197258,,,
91040,91040,20049,-0.008813187,0.496572734,,,
90403,90403,23902,0.732956884,0.924600152,,,
93550,93550,77506,-0.720311269,0.089108911,,,
92397,92397,4562,0.058716902,0.541507997,,,
91732,91732,62905,-0.57396566,0.143945164,,,
91731,91731,30222,-0.621405813,0.124143184,,,
94949,94949,18695,0.620806864,0.875856816,,,
94939,94939,6747,1.126565264,0.986290937,,,
95428,95428,2580,-0.98555307,0.0312262,,,
95425,95425,10984,0.153158814,0.602437167,,,
95449,95449,1560,-0.255452654,0.3229246,,,
95301,95301,39186,-0.309692045,0.285605484,,,
96134,96134,2059,-0.488097956,0.186595583,,,
93907,93907,23299,-0.015849884,0.492764661,,,
93953,93953,4028,0.389241217,0.741051028,,,
94599,94599,3108,0.199341808,0.629093679,,,
96161,96161,18488,0.392301757,0.744859101,,,
92840,92840,54735,-0.107914035,0.426504189,,,
92841,92841,33754,-0.195903282,0.367859863,,,
92647,92647,62199,0.276387926,0.670982483,,,
92673,92673,30768,0.637278347,0.883472963,,,
92865,92865,20664,0.286670527,0.679360244,,,
92866,92866,15574,0.063752036,0.54531607,,,
92624,92624,6372,0.42822519,0.768469155,,,
96020,96020,2369,0.064567631,0.546077685,,,
95947,95947,1657,-0.400354539,0.233054075,,,
96118,96118,1779,-0.253217581,0.326732673,,,
92234,92234,54357,-0.451709374,0.201827875,,,
92240,92240,35278,-0.761445947,0.079207921,,,
92544,92544,49923,-0.526807339,0.167555217,,,
92543,92543,38314,-0.822139865,0.058644326,,,
92264,92264,20072,-0.095383432,0.436405179,,,
92201,92201,65726,-0.496615698,0.180502666,,,
92373,92373,33353,0.233471776,0.64737243,,,
92210,92210,5138,0.214225144,0.637471439,,,
92324,92324,59972,-0.43050683,0.216298553,,,
92399,92399,54268,-0.111977375,0.425742574,,,
95843,95843,47823,0.099532848,0.568926123,,,
95814,95814,11908,0.366514213,0.729626809,,,
95864,95864,23352,0.51795933,0.82863671,,,
95655,95655,4156,0.011340346,0.509520183,,,
95824,95824,30296,-0.785700468,0.073115004,,,
92394,92394,34915,-0.587757128,0.134044174,,,
92410,92410,45052,-1.037194576,0.021325209,,,
92337,92337,39240,-0.116190068,0.420411272,,,
92313,92313,12547,0.099993757,0.569687738,,,
92325,92325,7948,-0.3246605,0.277989337,,,
92014,92014,13568,0.82918647,0.948210206,,,
92020,92020,59743,-0.208672108,0.357958873,,,
92111,92111,50693,0.067582927,0.548362529,,,
92108,92108,22280,0.227723908,0.644325971,,,
92037,92037,38168,0.716918173,0.920792079,,,
92104,92104,45435,0.243026738,0.653465347,,,
92154,92154,88979,-0.30699724,0.286367098,,,
92067,92067,7724,0.528966399,0.835491241,,,
92075,92075,12752,0.6723909,0.897182026,,,
92103,92103,34700,0.702652005,0.914699162,,,
91935,91935,8550,-0.033674237,0.4843869,,,
91978,91978,10506,0.130423187,0.588728104,,,
91906,91906,4428,-0.623917866,0.122619954,,,
92069,92069,50376,0.084552118,0.562071592,,,
92010,92010,16346,0.479039115,0.808073115,,,
92058,92058,46029,-0.575329091,0.14166032,,,
94131,94131,29523,1.162926601,0.99009901,,,
94124,94124,35747,-0.075383849,0.449352628,,,
94134,94134,42418,0.195201254,0.626808835,,,
94108,94108,14143,0.09673048,0.565879665,,,
94130,94130,3008,-0.824477581,0.057882711,,,
95242,95242,26409,0.251692862,0.658796649,,,
95240,95240,48799,-0.321282468,0.278750952,,,
95320,95320,12822,0.121973788,0.579588728,,,
93405,93405,35898,0.039470799,0.524752475,,,
93433,93433,13535,0.081493121,0.559025133,,,
93430,93430,2847,-0.378646606,0.246763138,,,
